"[1] 'Upon reduction with H2 at 550 C, Ga species initially located on the external surface migrate into the zeolitic micropores of H-ZSM-5 and exchange with BAS to form Ga+.'  
          '[2] 'Ga+ preferentially exchanges with single protons in paired BAS sites over protons in isolated BAS, to form Ga+H+ pair sites on samples with low Si/Al ratios.'
          '[3] 'Mainly isolated Ga+ exchanged with isolated BAS are produced on samples with a high Si/Al ratio.'
<quote>[1] "Brnsted/Lewis Acid Synergy in Methanol-to-Aromatics Conversion on Ga-Modified ZSM-5 Zeolites, As Studied by Solid-State NMR Spectroscopy"</quote>
         <quote>[2] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."</quote>
         <quote>[3] "What implications does the observed non-monotonic relationship between Ga/Al ratio and catalytic performance have for understanding the true nature of active sites and optimizing Ga/H-ZSM-5 catalysts?"</quote>

[1] "Mechanism and kinetics of light alkane dehydrogenation and cracking over isolated Ga species in Ga/H-MFI."
          [2] "Intraporous Ga species structure and distribution in H-ZSM-5 zeolites are influenced by factors such as Ga loading and Si/Al ratio."
          [3] "The observed non-monotonic relationship between Ga/Al ratio and catalytic performance challenges the assumption of uniform PDH activity."

"[1] 'Upon reduction with H2 at 550 C, Ga species initially located on the external surface migrate into the zeolitic micropores of H-ZSM-5 and exchange with BAS to form Ga+.'  
          '[2] 'Ga+ preferentially exchanges with single protons in paired BAS sites over protons in isolated BAS, to form Ga+H+ pair sites on samples with low Si/Al ratios.'
          '[3] 'Mainly isolated Ga+ exchanged with isolated BAS are produced on samples with a high Si/Al ratio.'
          '[4] 'A one-to-one correspondence in the consumption of BAS and Ga loading is found in samples with low Si/Al and Ga/Al ratios by quantitative FTIR spectroscopy with pyridine, however,exchange with BAS becomes increasingly difficult at higher Ga loadings due to the scarcity of BAS.'
          '[5] 'Up to 80% of BAS are consumed at Ga/Al ratios as high as 1.7, suggesting complete removal of BAS cannot be achieved with excess Ga.'
          '[6] 'Spectral features of GaHx observed on reduced Ga/H-ZSM-5 samples at 550 C show that Ga hydrides can only form on Ga+H+ pair sites, rather than isolated Ga+ sites.'
          '[7] 'This is supported by spectral observations with water as a probe molecule, in which only isolated Ga+ can be oxidized by water at 150 C to form GaOOH, while Ga+H+ pair sites, regardless of the existence of GaHx species, do not react with water.'"

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."
          [3] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

<quote>[1] "Brnsted/Lewis Acid Synergy in Methanol-to-Aromatics Conversion on Ga-Modified ZSM-5 Zeolites, As Studied by Solid-State NMR Spectroscopy"</quote>
         <quote>[2] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."</quote>
         <quote>[3] "What implications does the observed non-monotonic relationship between Ga/Al ratio and catalytic performance have for understanding the true nature of active sites and optimizing Ga/H-ZSM-5 catalysts?"</quote>

[1] "Mechanism and kinetics of light alkane dehydrogenation and cracking over isolated Ga species in Ga/H-MFI."
          [2] "Intraporous Ga species structure and distribution in H-ZSM-5 zeolites are influenced by factors such as Ga loading and Si/Al ratio."
          [3] "The observed non-monotonic relationship between Ga/Al ratio and catalytic performance challenges the assumption of uniform PDH activity."

"[1] 'Upon reduction with H2 at 550 C, Ga species initially located on the external surface migrate into the zeolitic micropores of H-ZSM-5 and exchange with BAS to form Ga+.'  
          '[2] 'Ga+ preferentially exchanges with single protons in paired BAS sites over protons in isolated BAS, to form Ga+H+ pair sites on samples with low Si/Al ratios.'
          '[3] 'Mainly isolated Ga+ exchanged with isolated BAS are produced on samples with a high Si/Al ratio.'
          '[4] 'A one-to-one correspondence in the consumption of BAS and Ga loading is found in samples with low Si/Al and Ga/Al ratios by quantitative FTIR spectroscopy with pyridine, however,exchange with BAS becomes increasingly difficult at higher Ga loadings due to the scarcity of BAS.'
          '[5] 'Up to 80% of BAS are consumed at Ga/Al ratios as high as 1.7, suggesting complete removal of BAS cannot be achieved with excess Ga.'
          '[6] 'Spectral features of GaHx observed on reduced Ga/H-ZSM-5 samples at 550 C show that Ga hydrides can only form on Ga+H+ pair sites, rather than isolated Ga+ sites.'
          '[7] 'This is supported by spectral observations with water as a probe molecule, in which only isolated Ga+ can be oxidized by water at 150 C to form GaOOH, while Ga+H+ pair sites, regardless of the existence of GaHx species, do not react with water.'"

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."
          [3] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

<quote>[1] "Brnsted/Lewis Acid Synergy in Methanol-to-Aromatics Conversion on Ga-Modified ZSM-5 Zeolites, As Studied by Solid-State NMR Spectroscopy"</quote>
         <quote>[2] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."</quote>
         <quote>[3] "What implications does the observed non-monotonic relationship between Ga/Al ratio and catalytic performance have for understanding the true nature of active sites and optimizing Ga/H-ZSM-5 catalysts?"</quote>

[1] "Mechanism and kinetics of light alkane dehydrogenation and cracking over isolated Ga species in Ga/H-MFI."
          [2] "Intraporous Ga species structure and distribution in H-ZSM-5 zeolites are influenced by factors such as Ga loading and Si/Al ratio."
          [3] "The observed non-monotonic relationship between Ga/Al ratio and catalytic performance challenges the assumption of uniform PDH activity."

"[1] 'Upon reduction with H2 at 550 C, Ga species initially located on the external surface migrate into the zeolitic micropores of H-ZSM-5 and exchange with BAS to form Ga+.'  
          '[2] 'Ga+ preferentially exchanges with single protons in paired BAS sites over protons in isolated BAS, to form Ga+H+ pair sites on samples with low Si/Al ratios.'
          '[3] 'Mainly isolated Ga+ exchanged with isolated BAS are produced on samples with a high Si/Al ratio.'
          '[4] 'A one-to-one correspondence in the consumption of BAS and Ga loading is found in samples with low Si/Al and Ga/Al ratios by quantitative FTIR spectroscopy with pyridine, however,exchange with BAS becomes increasingly difficult at higher Ga loadings due to the scarcity of BAS.'
          '[5] 'Up to 80% of BAS are consumed at Ga/Al ratios as high as 1.7, suggesting complete removal of BAS cannot be achieved with excess Ga.'
          '[6] 'Spectral features of GaHx observed on reduced Ga/H-ZSM-5 samples at 550 C show that Ga hydrides can only form on Ga+H+ pair sites, rather than isolated Ga+ sites.'
          '[7] 'This is supported by spectral observations with water as a probe molecule, in which only isolated Ga+ can be oxidized by water at 150 C to form GaOOH, while Ga+H+ pair sites, regardless of the existence of GaHx species, do not react with water.'"

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."
          [3] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

<quote>[1] "Brnsted/Lewis Acid Synergy in Methanol-to-Aromatics Conversion on Ga-Modified ZSM-5 Zeolites, As Studied by Solid-State NMR Spectroscopy"</quote>
         <quote>[2] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."</quote>
         <quote>[3] "What implications does the observed non-monotonic relationship between Ga/Al ratio and catalytic performance have for understanding the true nature of active sites and optimizing Ga/H-ZSM-5 catalysts?"</quote>

[1] "Mechanism and kinetics of light alkane dehydrogenation and cracking over isolated Ga species in Ga/H-MFI."
          [2] "Intraporous Ga species structure and distribution in H-ZSM-5 zeolites are influenced by factors such as Ga loading and Si/Al ratio."
          [3] "The observed non-monotonic relationship between Ga/Al ratio and catalytic performance challenges the assumption of uniform PDH activity."

"[1] 'Upon reduction with H2 at 550 C, Ga species initially located on the external surface migrate into the zeolitic micropores of H-ZSM-5 and exchange with BAS to form Ga+.'  
          '[2] 'Ga+ preferentially exchanges with single protons in paired BAS sites over protons in isolated BAS, to form Ga+H+ pair sites on samples with low Si/Al ratios.'
          '[3] 'Mainly isolated Ga+ exchanged with isolated BAS are produced on samples with a high Si/Al ratio.'
          '[4] 'A one-to-one correspondence in the consumption of BAS and Ga loading is found in samples with low Si/Al and Ga/Al ratios by quantitative FTIR spectroscopy with pyridine, however,exchange with BAS becomes increasingly difficult at higher Ga loadings due to the scarcity of BAS.'
          '[5] 'Up to 80% of BAS are consumed at Ga/Al ratios as high as 1.7, suggesting complete removal of BAS cannot be achieved with excess Ga.'
          '[6] 'Spectral features of GaHx observed on reduced Ga/H-ZSM-5 samples at 550 C show that Ga hydrides can only form on Ga+H+ pair sites, rather than isolated Ga+ sites.'
          '[7] 'This is supported by spectral observations with water as a probe molecule, in which only isolated Ga+ can be oxidized by water at 150 C to form GaOOH, while Ga+H+ pair sites, regardless of the existence of GaHx species, do not react with water.'"

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."
          [3] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

<quote>[1] "Brnsted/Lewis Acid Synergy in Methanol-to-Aromatics Conversion on Ga-Modified ZSM-5 Zeolites, As Studied by Solid-State NMR Spectroscopy"</quote>
         <quote>[2] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."</quote>
         <quote>[3] "What implications does the observed non-monotonic relationship between Ga/Al ratio and catalytic performance have for understanding the true nature of active sites and optimizing Ga/H-ZSM-5 catalysts?"</quote>

[1] "Mechanism and kinetics of light alkane dehydrogenation and cracking over isolated Ga species in Ga/H-MFI."
          [2] "Intraporous Ga species structure and distribution in H-ZSM-5 zeolites are influenced by factors such as Ga loading and Si/Al ratio."
          [3] "The observed non-monotonic relationship between Ga/Al ratio and catalytic performance challenges the assumption of uniform PDH activity."

"[1] 'Upon reduction with H2 at 550 C, Ga species initially located on the external surface migrate into the zeolitic micropores of H-ZSM-5 and exchange with BAS to form Ga+.'  
          '[2] 'Ga+ preferentially exchanges with single protons in paired BAS sites over protons in isolated BAS, to form Ga+H+ pair sites on samples with low Si/Al ratios.'
          '[3] 'Mainly isolated Ga+ exchanged with isolated BAS are produced on samples with a high Si/Al ratio.'
          '[4] 'A one-to-one correspondence in the consumption of BAS and Ga loading is found in samples with low Si/Al and Ga/Al ratios by quantitative FTIR spectroscopy with pyridine, however,exchange with BAS becomes increasingly difficult at higher Ga loadings due to the scarcity of BAS.'
          '[5] 'Up to 80% of BAS are consumed at Ga/Al ratios as high as 1.7, suggesting complete removal of BAS cannot be achieved with excess Ga.'
          '[6] 'Spectral features of GaHx observed on reduced Ga/H-ZSM-5 samples at 550 C show that Ga hydrides can only form on Ga+H+ pair sites, rather than isolated Ga+ sites.'
          '[7] 'This is supported by spectral observations with water as a probe molecule, in which only isolated Ga+ can be oxidized by water at 150 C to form GaOOH, while Ga+H+ pair sites, regardless of the existence of GaHx species, do not react with water.'"

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."
          [3] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

<quote>[1] "Brnsted/Lewis Acid Synergy in Methanol-to-Aromatics Conversion on Ga-Modified ZSM-5 Zeolites, As Studied by Solid-State NMR Spectroscopy"</quote>
         <quote>[2] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."</quote>
         <quote>[3] "What implications does the observed non-monotonic relationship between Ga/Al ratio and catalytic performance have for understanding the true nature of active sites and optimizing Ga/H-ZSM-5 catalysts?"</quote>

[1] "Mechanism and kinetics of light alkane dehydrogenation and cracking over isolated Ga species in Ga/H-MFI."
          [2] "Intraporous Ga species structure and distribution in H-ZSM-5 zeolites are influenced by factors such as Ga loading and Si/Al ratio."
          [3] "The observed non-monotonic relationship between Ga/Al ratio and catalytic performance challenges the assumption of uniform PDH activity."

"[1] 'Upon reduction with H2 at 550 C, Ga species initially located on the external surface migrate into the zeolitic micropores of H-ZSM-5 and exchange with BAS to form Ga+.'  
          '[2] 'Ga+ preferentially exchanges with single protons in paired BAS sites over protons in isolated BAS, to form Ga+H+ pair sites on samples with low Si/Al ratios.'
          '[3] 'Mainly isolated Ga+ exchanged with isolated BAS are produced on samples with a high Si/Al ratio.'
          '[4] 'A one-to-one correspondence in the consumption of BAS and Ga loading is found in samples with low Si/Al and Ga/Al ratios by quantitative FTIR spectroscopy with pyridine, however,exchange with BAS becomes increasingly difficult at higher Ga loadings due to the scarcity of BAS.'
          '[5] 'Up to 80% of BAS are consumed at Ga/Al ratios as high as 1.7, suggesting complete removal of BAS cannot be achieved with excess Ga.'
          '[6] 'Spectral features of GaHx observed on reduced Ga/H-ZSM-5 samples at 550 C show that Ga hydrides can only form on Ga+H+ pair sites, rather than isolated Ga+ sites.'
          '[7] 'This is supported by spectral observations with water as a probe molecule, in which only isolated Ga+ can be oxidized by water at 150 C to form GaOOH, while Ga+H+ pair sites, regardless of the existence of GaHx species, do not react with water.'"

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."
          [3] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

<quote>[1] "Brnsted/Lewis Acid Synergy in Methanol-to-Aromatics Conversion on Ga-Modified ZSM-5 Zeolites, As Studied by Solid-State NMR Spectroscopy"</quote>
         <quote>[2] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."</quote>
         <quote>[3] "What implications does the observed non-monotonic relationship between Ga/Al ratio and catalytic performance have for understanding the true nature of active sites and optimizing Ga/H-ZSM-5 catalysts?"</quote>

[1] "Mechanism and kinetics of light alkane dehydrogenation and cracking over isolated Ga species in Ga/H-MFI."
          [2] "Intraporous Ga species structure and distribution in H-ZSM-5 zeolites are influenced by factors such as Ga loading and Si/Al ratio."
          [3] "The observed non-monotonic relationship between Ga/Al ratio and catalytic performance challenges the assumption of uniform PDH activity."

"[1] 'Upon reduction with H2 at 550 C, Ga species initially located on the external surface migrate into the zeolitic micropores of H-ZSM-5 and exchange with BAS to form Ga+.'  
          '[2] 'Ga+ preferentially exchanges with single protons in paired BAS sites over protons in isolated BAS, to form Ga+H+ pair sites on samples with low Si/Al ratios.'
          '[3] 'Mainly isolated Ga+ exchanged with isolated BAS are produced on samples with a high Si/Al ratio.'
          '[4] 'A one-to-one correspondence in the consumption of BAS and Ga loading is found in samples with low Si/Al and Ga/Al ratios by quantitative FTIR spectroscopy with pyridine, however,exchange with BAS becomes increasingly difficult at higher Ga loadings due to the scarcity of BAS.'
          '[5] 'Up to 80% of BAS are consumed at Ga/Al ratios as high as 1.7, suggesting complete removal of BAS cannot be achieved with excess Ga.'
          '[6] 'Spectral features of GaHx observed on reduced Ga/H-ZSM-5 samples at 550 C show that Ga hydrides can only form on Ga+H+ pair sites, rather than isolated Ga+ sites.'
          '[7] 'This is supported by spectral observations with water as a probe molecule, in which only isolated Ga+ can be oxidized by water at 150 C to form GaOOH, while Ga+H+ pair sites, regardless of the existence of GaHx species, do not react with water.'"

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."
          [3] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

<quote>[1] "Brnsted/Lewis Acid Synergy in Methanol-to-Aromatics Conversion on Ga-Modified ZSM-5 Zeolites, As Studied by Solid-State NMR Spectroscopy"</quote>
         <quote>[2] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."</quote>
         <quote>[3] "What implications does the observed non-monotonic relationship between Ga/Al ratio and catalytic performance have for understanding the true nature of active sites and optimizing Ga/H-ZSM-5 catalysts?"</quote>

[1] "Mechanism and kinetics of light alkane dehydrogenation and cracking over isolated Ga species in Ga/H-MFI."
          [2] "Intraporous Ga species structure and distribution in H-ZSM-5 zeolites are influenced by factors such as Ga loading and Si/Al ratio."
          [3] "The observed non-monotonic relationship between Ga/Al ratio and catalytic performance challenges the assumption of uniform PDH activity."

"[1] 'Upon reduction with H2 at 550 C, Ga species initially located on the external surface migrate into the zeolitic micropores of H-ZSM-5 and exchange with BAS to form Ga+.'  
          '[2] 'Ga+ preferentially exchanges with single protons in paired BAS sites over protons in isolated BAS, to form Ga+H+ pair sites on samples with low Si/Al ratios.'
          '[3] 'Mainly isolated Ga+ exchanged with isolated BAS are produced on samples with a high Si/Al ratio.'
          '[4] 'A one-to-one correspondence in the consumption of BAS and Ga loading is found in samples with low Si/Al and Ga/Al ratios by quantitative FTIR spectroscopy with pyridine, however,exchange with BAS becomes increasingly difficult at higher Ga loadings due to the scarcity of BAS.'
          '[5] 'Up to 80% of BAS are consumed at Ga/Al ratios as high as 1.7, suggesting complete removal of BAS cannot be achieved with excess Ga.'
          '[6] 'Spectral features of GaHx observed on reduced Ga/H-ZSM-5 samples at 550 C show that Ga hydrides can only form on Ga+H+ pair sites, rather than isolated Ga+ sites.'
          '[7] 'This is supported by spectral observations with water as a probe molecule, in which only isolated Ga+ can be oxidized by water at 150 C to form GaOOH, while Ga+H+ pair sites, regardless of the existence of GaHx species, do not react with water.'"

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

[1] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."
          [3] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenges the assumption of uniform PDH activity."

<quote>[1] "Brnsted/Lewis Acid Synergy in Methanol-to-Aromatics Conversion on Ga-Modified ZSM-5 Zeolites, As Studied by Solid-State NMR Spectroscopy"</quote>
         <quote>[2] "The variability in intraporous Ga species structure and distribution in H-ZSM-5 zeolites, influenced by factors such as Ga loading and Si/Al ratio, challenge the assumption of uniform PDH activity."</quote>
         <quote>[3] "What implications does the observed non-monotonic relationship between Ga/Al ratio and catalytic performance have for understanding the true nature of active sites and optimizing Ga/H-ZSM-5 catalysts?"</quote>

[1] "Mechanism and kinetics of light alkane dehydrogenation and cracking over isolated Ga species in Ga/H-MFI."
          [2] "Intraporous Ga species structure and distribution in H-ZSM-5 zeolites are influenced by factors such as Ga loading and Si/Al ratio."
          [3] "The observed non-monotonic relationship between Ga/Al ratio and catalytic performance challenges the assumption of uniform PDH activity."

